DEBUG     ::     SYSTEM      ControlUnit: time=67, instructions executed=11, interruption = False
INFO      ::     INSTR       Processing INC
DEBUG     ::     ALU         Incrementing 3
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [4]
DEBUG     ::     SYSTEM      ControlUnit: time=74, instructions executed=12, interruption = False
INFO      ::     INSTR       Processing JUMP ADDRESS 13
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [4]
DEBUG     ::     SYSTEM      ControlUnit: time=78, instructions executed=13, interruption = False
INFO      ::     INSTR       Processing DUPLICATE
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [4, 4]
DEBUG     ::     SYSTEM      ControlUnit: time=84, instructions executed=14, interruption = False
INFO      ::     INSTR       Processing READ
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [4, 104]
DEBUG     ::     SYSTEM      ControlUnit: time=91, instructions executed=15, interruption = False
INFO      ::     INSTR       Processing DUPLICATE
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [4, 104, 104]
DEBUG     ::     SYSTEM      ControlUnit: time=97, instructions executed=16, interruption = False
INFO      ::     INSTR       Processing PUSH VALUE 0
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [4, 104, 104, 0]
DEBUG     ::     SYSTEM      ControlUnit: time=102, instructions executed=17, interruption = False
INFO      ::     INSTR       Processing COMPARE
DEBUG     ::     ALU         Comparing 104 and 0
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [4, 104]
DEBUG     ::     SYSTEM      ControlUnit: time=109, instructions executed=18, interruption = False
INFO      ::     INSTR       Processing JEQ ADDRESS 4
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [4, 104]
DEBUG     ::     SYSTEM      ControlUnit: time=114, instructions executed=19, interruption = False
INFO      ::     INSTR       Processing SAVE ADDRESS 1
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [4]
DEBUG     ::     SYSTEM      ControlUnit: time=121, instructions executed=20, interruption = False
INFO      ::     INSTR       Processing INC
DEBUG     ::     ALU         Incrementing 4
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [5]
DEBUG     ::     SYSTEM      ControlUnit: time=128, instructions executed=21, interruption = False
INFO      ::     INSTR       Processing JUMP ADDRESS 13
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [5]
DEBUG     ::     SYSTEM      ControlUnit: time=132, instructions executed=22, interruption = False
INFO      ::     INSTR       Processing DUPLICATE
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [5, 5]
DEBUG     ::     SYSTEM      ControlUnit: time=138, instructions executed=23, interruption = False
INFO      ::     INSTR       Processing READ
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [5, 97]
DEBUG     ::     SYSTEM      ControlUnit: time=145, instructions executed=24, interruption = False
INFO      ::     INSTR       Processing DUPLICATE
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [5, 97, 97]
DEBUG     ::     SYSTEM      ControlUnit: time=151, instructions executed=25, interruption = False
INFO      ::     INSTR       Processing PUSH VALUE 0
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [5, 97, 97, 0]
DEBUG     ::     SYSTEM      ControlUnit: time=156, instructions executed=26, interruption = False
INFO      ::     INSTR       Processing COMPARE
DEBUG     ::     ALU         Comparing 97 and 0
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [5, 97]
DEBUG     ::     SYSTEM      ControlUnit: time=163, instructions executed=27, interruption = False
INFO      ::     INSTR       Processing JEQ ADDRESS 4
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [5, 97]
DEBUG     ::     SYSTEM      ControlUnit: time=168, instructions executed=28, interruption = False
INFO      ::     INSTR       Processing SAVE ADDRESS 1
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [5]
DEBUG     ::     SYSTEM      ControlUnit: time=175, instructions executed=29, interruption = False
INFO      ::     INSTR       Processing INC
DEBUG     ::     ALU         Incrementing 5
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [6]
DEBUG     ::     SYSTEM      ControlUnit: time=182, instructions executed=30, interruption = False
INFO      ::     INSTR       Processing JUMP ADDRESS 13
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [6]
DEBUG     ::     SYSTEM      ControlUnit: time=186, instructions executed=31, interruption = False
INFO      ::     INSTR       Processing DUPLICATE
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [6, 6]
DEBUG     ::     SYSTEM      ControlUnit: time=192, instructions executed=32, interruption = False
INFO      ::     INSTR       Processing READ
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [6, 116]
DEBUG     ::     SYSTEM      ControlUnit: time=199, instructions executed=33, interruption = False
INFO      ::     INSTR       Processing DUPLICATE
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [6, 116, 116]
DEBUG     ::     SYSTEM      ControlUnit: time=205, instructions executed=34, interruption = False
INFO      ::     INSTR       Processing PUSH VALUE 0
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [6, 116, 116, 0]
DEBUG     ::     SYSTEM      ControlUnit: time=210, instructions executed=35, interruption = False
INFO      ::     INSTR       Processing COMPARE
DEBUG     ::     ALU         Comparing 116 and 0
DEBUG     ::     INTER       Have 1 interruptions
DEBUG     ::     INTER       Processing Interruption: INPUT
DEBUG     ::     SYSTEM      Data stack: [6, 116]
DEBUG     ::     SYSTEM      ControlUnit: time=222, instructions executed=36, interruption = True
INFO      ::     INSTR       Processing READ ADDRESS 0
DEBUG     ::     SYSTEM      Data stack: [6, 116, 78]
DEBUG     ::     SYSTEM      ControlUnit: time=227, instructions executed=37, interruption = True
INFO      ::     INSTR       Processing DUPLICATE
DEBUG     ::     SYSTEM      Data stack: [6, 116, 78, 78]
DEBUG     ::     SYSTEM      ControlUnit: time=232, instructions executed=38, interruption = True
